1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
第8届斯阔谷冬奥会斯阔谷海拔多少米？,1889
第8届斯阔谷冬奥会加米施-帕滕基兴仅多少米？,732
第8届斯阔谷冬奥会2月18日举行了隆重的开幕式，1万多少千名观众出席了盛会？,5
第8届斯阔谷冬奥会速滑场上，苏联在男子比赛时再现了上届的成就，夺取了4枚金牌中的多少枚？,3
第8届斯阔谷冬奥会哪位运动员创世界纪录，成为世界上第一个用不到40秒时间滑完500米的选手？,格里申
第8届斯阔谷冬奥会挪威这次成绩也不差，除奥斯获1500米赛金牌外，克约翰内森在最后哪项比赛中赢得了胜利？,越野滑雪10000
第8届斯阔谷冬奥会著名女速滑手利迪娅·斯科布利科娃一人独得了哪两项金牌？,女子速滑1500米，3000米
第8届斯阔谷冬奥会金牌得主多属新人，仅30公里冠军瑞典的西耶恩伯格是上届多少公里金牌获得者？,50
第8届斯阔谷冬奥会奥地利在男子回转障碍(埃欣特泽尔)、法国在男子速降(让维亚尔内)中也各得多少枚金牌？,1
第8届斯阔谷冬奥会国际奥委会在1955年第多少次巴黎全会上最后选定了斯阔谷？,51
第8届斯阔谷冬奥会速滑场上，苏联在男子比赛时再现了上届的成就，夺取了多少枚金牌中的3枚？,4
第8届斯阔谷冬奥会2月25日，苏联速滑运动员维克托·科西奇金正好满多少周岁，同时又获得了5000米赛的金牌，使自己的生日倍增光彩？,22
第8届斯阔谷冬奥会在什么时候，苏联速滑运动员维克托·科西奇金正好满周岁，同时又获得了5000米赛的金牌，使自己的生日倍增光彩？,43521
第8届斯阔谷冬奥会自多少年冬奥会创办以来，欧洲第一次没有拿到金牌？,1924
第8届斯阔谷冬奥会东道主以2:1战胜了谁，首次赢得了桂冠？,加拿大队
第8届斯阔谷冬奥会本届共举行了多少个单项比赛，由于同上届一样的原因，在男子速滑中有两人并列冠军，共决出了28枚金牌？,27
第8届斯阔谷冬奥会国际奥委会在多少年第51次巴黎全会上最后选定了斯阔谷？,1955
第三届冬奥会哪位运动员年龄最小？,英国塞西莉娅-科莱奇
第三届冬奥会运动员最小的年龄是多少岁？,11岁零两个月
第三届冬奥会哪位运动员年龄最大？,美国人约瑟夫-萨维奇
第三届冬奥会运动员最大的年龄是多少岁？,53岁
第三届冬奥会在进行有马拉松之称的50公里滑雪赛时，天气居然下起雨来，原先安排的滑雪路线已无法使用，组委会不得不临时找了一块大的林间地带于什么时候进行了这项比赛？,43510
第三届冬奥会美、加两队比赛时，第一场美国队以多少的成绩败北？,l：2
第三届冬奥会总的来说，无论从参加国家还是运动员的数目看本届规模都要比上届小吗？,没错
第三届冬奥会雪车5人座改成4人座，另增了一项双人座，取消了上届的多少轮雪车赛？,4
第三届冬奥会芬兰人维里-萨克宁夺得了桂冠，而夺标呼声最高的另一名芬兰选手瓦伊诺-里卡宁以多少秒之差屈居亚军？,20
第三届冬奥会原计划在2月8日～9日举行的双人雪车赛由于大风雪不得不顺延一天，而第二天大风雪影响更大，致使4人雪车赛延至闭幕(2月13日)后的2月14日一多少日才举行？,15
第三届冬奥会伊根(1920年拳击冠军)，就是在本次多少人雪车赛中夺冠的？,4
第三届冬奥会比赛时，仅能容纳3000人的冰场，一下子涌进了多少人？,7000
第三届冬奥会由于经济危机和旅费问题，只有多少个国家的运动员参加了比赛，美国和加拿大运动员数目最多，几乎占参赛选手总数的一半，而欧洲一些冰雪发达国家，只派少数运动员参加，中国第一次派队参加？,17
第三届冬奥会雪车多少人座改成4人座，另增了一项双人座，取消了上届的4轮雪车赛？,5
第三届冬奥会女子单人赛时，上届的冠军挪威的海妮以优美的舞姿赢得了多少个裁判的最高分，获冠军？,7
第三届冬奥会比赛时，仅能容纳多少人的冰场，一下子涌进了7000人？,3000
第九届奥地利因斯布鲁克冬奥会上届冠军仅有谁在5000米赛中再获金牌？,挪威的克-给翰内森
第九届奥地利因斯布鲁克冬奥会德国的曼-施内尔德夫获得了男子单人滑第几名？,第一名
第九届奥地利因斯布鲁克冬奥会挪威选手托穆德-克努特森夺取了两项全能冠军，是挪威自1924年以来第几次获该项桂冠？,第七次
第九届奥地利因斯布鲁克冬奥会上届两枚金牌获得者，前苏联24岁的女选手利迪娅-斯科布在本届的速度滑冰赛中赢得了全部四个项目的金牌，其中500米赛她以多少秒的成绩破奥运会纪录？,45秒
第九届奥地利因斯布鲁克冬奥会挪威选手托穆德-克努特森夺取了两项全能冠军，这是挪威自多少年以来第七次获该项桂冠？,1924
第九届奥地利因斯布鲁克冬奥会上届两枚金牌获得者，前苏联多少岁的女选手利迪娅-斯科布在本届的速度滑冰赛中赢得了全部四个项目的金牌，其中500米赛她以45秒的成绩破奥运会纪录？,24
第九届奥地利因斯布鲁克冬奥会女教师克-博亚尔斯基赫，在哪项比赛中成绩突出，包揽了5公里、10公里的金牌，还在3X5公里接力赛中取胜，是本届滑雪获金牌最多的运动员？,滑雪比赛
第二十一届冬奥会的历时是多少天？,16天
第二十一届冬奥会首次参加的国家有谁？,摩洛哥
第二十一届冬奥会挪威无愧有滑雪王国之称，哈格隆宁根和奥埃勒夫萨特分别在男子15公里和50公里项目中夺得了桂冠，他们还在男女两个接力项目中取胜，总共获得了多少枚金牌？,4枚
第二十一届冬奥会本届冬奥会有85个国家和地区的奥委会，约多少名运动员和官员参赛？,5500
第二十一届冬奥会吉洪诺夫因脱靶被罚了两分钟时间，结果成绩反比对手差，届居亚军，索尔伯格获得了第几名?,第一名
第二十一届冬奥会冰球决赛期间，在苏联以4:5输给捷克斯洛伐克后，形势变得非常微妙。苏、捷加拿大3队都各负1场，积分均为多少分？,10分
第二十一届冬奥会参赛人数等于法国多少年第一次主办时的两倍多？,1924
第二十一届冬奥会基利在大回转、回转障碍滑雪和快速降下中，接连夺冠，重现了多少年冬奥会奥地利扎勒的成就？,1956
第二十一届冬奥会运动雪橇项目按规定需进行4轮比赛，因天不作美，只赛完了多少轮？,3
第二十一届冬奥会本届共举行了多少个单项比赛？,35
第二十一届冬奥会不列颠哥伦比亚省的神话传说所创作的多少个卡通形象？,3
第二十一届冬奥会两个德国自多少年组成德国联队参加了1956至1964年三届冬奥会，从本届始均独立组队参赛？,1956
第二十一届冬奥会丹策尔在其整个运动生涯中，曾多少次获世界冠军（1966--1968）、4次获欧洲冠军（1965--1968），却未能在奥运会上取胜，甚为遗憾？,3
第二十一届冬奥会而这次参赛的主力托伊尼古斯塔夫松在大会开幕前不久就已年满多少岁，人们也未对她寄予厚望？,30
第二十一届冬奥会运动雪橇项目按规定需进行多少轮比赛，因天不作美，只赛完了3轮？,4
第二十一届冬奥会有舵雪橇男子双座和多少人座，意大利1队战胜了所有对手，两次夺魁？,4
第二十一届冬奥会和，而苏联却意外以多少:0轻取了加拿大，赢得了这项桂冠？,5
第二十一届冬奥会列第四的意大利队也取得了它在冬奥会上有史以来的最好成绩，获金牌多少枚，但无银、铜牌？,4
第二十一届冬奥会全世界约有多少亿人次通过卫星电视转播收看了本届冬奥会的各项比赛？,5
第二届冬奥会首次参赛的国家有谁？,德国、荷兰、罗马尼亚、立陶宛、卢森堡、墨西哥、日本、阿根廷和爱沙尼亚
第二届冬奥会50公里越野赛时，气温在零度以上，给滑行带来了困难，佩尔-埃里克-赫德伦德获冠军，他到达终点的时间要比上届冠军慢多少个小时？,1个多
第二届冬奥会黑妮获得金牌后有点骄傲地说：我多么想跟上届冠军谁再次较量，可惜她没有来？,普兰克-索博
第二届冬奥会埃德蒙德舒尔希斯宣布本届冬奥会开幕，代表运动员宣誓的东道主是谁？,滑雪运动员汉斯埃登本茨
第二届冬奥会世界锦标赛获得了5000米桂冠的挪威年轻选手伊瓦尔巴兰格鲁德这次又取得了胜利；顿贝格遭到了惨败，只获第几名？,第十二名
第二届冬奥会奥地利在女子单人和男女双人滑中，也丢掉了上届获得了的冠军宝座，只得了多少枚银牌和1枚铜牌？,2枚
第二届冬奥会加拿大渥太华的20岁选手芭芭拉斯科特以完美的发挥夺得单人滑第几名？,第一名
第二届冬奥会美国奥委会警告东道主：如果大会接纳AHA球队参赛，美国，就会如何？,退出本届冬奥会
第二届冬奥会圣莫里茨位于瑞士东南部，当时人口不足多少千？,5
第二届冬奥会雪车由4人座改为5人座，另外增加了1项多少轮雪车赛？,4
第二届冬奥会由于天气多变，本届速滑只举行了500、1500、5000米多少个项目的比赛？,3
第二届冬奥会以43秒4的成绩同时到达终点，并列冠军；美国的约法雷尔、芬兰的亚弗里曼和挪威罗拉尔森成绩同为43秒6，各得了多少枚铜牌？,1
第二届冬奥会奥地利威伯克尔虽然在上届只得银牌，但翌年夺得世界冠军，并在1926、1927、多少年接连三届蝉联？,1928
第二届冬奥会奥地利在女子单人和男女双人滑中，也丢掉了上届获得的冠军宝座，只得了2枚银牌和多少枚铜牌？,1
第二届冬奥会未婚夫妇安德烈若利和皮埃尔布律内。多少年后在普莱西德湖他们夫妻俩又蝉联了冠军？,4
第二届冬奥会获得冠军的是佩尔埃里克赫德伦德，不过，他到达终点的时间要比上届冠军慢多少小时多？,1
第二届冬奥会希顿还在5人座雪橇赛中得了多少枚银牌？,1
第二届冬奥会挪威成绩再次领先，获金牌6枚，银牌4枚，铜牌5枚，美国、瑞典金、银牌都是2枚，但美国获铜牌2枚，比瑞典多多少枚？,1
第二届冬奥会冰球赛共多少个队参加？,11
第二届冬奥会1974年是第1届冬奥会恰好过去多少年的时间？,50
第二届冬奥会亨尼曾在1928年以15岁零多少个月创造夺得冬奥会冠军的最年轻纪录？,10
第二届冬奥会亨尼还在多少年实现了冬奥会女子单人花滑三连冠的梦想？,1936
第二届冬奥会布伦戴奇获悉后，警告她如果接受汽车将违反奥委会的有关业余选手的规定条例，将被取消多少年后冬奥会的参赛资格？,1
第二届冬奥会单板滑雪赛场，男、女越野争先赛的金牌分别归于美国的29岁的维斯科特和瑞士多少岁的弗里登？,30
第二届冬奥会圣莫里茨举行申请主办第二届冬奥会的有瑞士的多少个城市：达沃斯、恩格尔堡和圣莫里茨，最后选定了圣莫里茨？,3
第二届冬奥会由于天气多变，本届速滑只举行了多少、1500、5000米3个项目的比赛？,500
第二届冬奥会奥地利威伯克尔虽然在上届只得银牌，但翌年夺得世界冠军，并在多少、1927、1928年接连三届蝉联？,1926
第二届冬奥会奥地利在女子单人和男女双人滑中，也丢掉了上届获得的冠军宝座，只得了多少枚银牌和1枚铜牌？,2
第二届冬奥会她还在多少年至1936年世界锦标赛中10次夺得桂冠，是花样滑冰历史上最出色的女子单人滑运动员？,1927
第二届冬奥会滑雪比赛也碰上了反复无常的天气。哪项比赛时，气温在零度以上，给滑行带来了很大困难？,50公里越野赛
第二届冬奥会加拿大以多少:0胜瑞典、13:0胜瑞士、14:0胜英国，轻松地蝉联了冠军？,11
第二届冬奥会挪威成绩再次领先，获金牌多少枚，银牌4枚，铜牌5枚，美国、瑞典金、银牌都是2枚，但美国获铜牌2枚，比瑞典多1枚？,6
第二届冬奥会国际奥委会最终决定在多少年夏季奥运会前举行冰雪项目的比赛？,1924
第二届冬奥会亨尼曾在多少年以15岁零10个月创造夺得冬奥会冠军的最年轻纪录？,1928
第二届冬奥会在参加冬奥会时，斯科特抽到多少号的号码，虽然这个数字在西方并不吉利，这令很多人断言她无法夺冠？,13
第二届冬奥会单板滑雪赛场，男、女越野争先赛的金牌分别归于美国的多少岁的维斯科特和瑞士30岁的弗里登？,29
第六届冬奥会在开幕式上宣布大会开幕的是挪威公主拉根希尔德，而东道主的谁代表运动员进行了宣誓？,跳台滑雪选手托尔比约恩法尔坎格
第六届冬奥会捷克斯洛伐克队这次全由青年选手组成，他们与瑞典队积分、净胜分均相等，但在争第三名的重赛中以3:5失利，瑞典队获得了第几名？,第三名
第六届冬奥会第一次列入比赛项目的女子10公里越野滑雪赛中，以什么为首的芬兰3名选手气势逼人，囊括了全部奖牌？,吕维德曼
第六届冬奥会冬奥会从1924年开始，无论会址是夏蒙尼、圣莫里茨，还是普莱西德湖或加米施-帕滕基兴，都只是偏僻的山镇，人烟稀少，有的甚至居民不足两千人吗？,没错
第六届冬奥会比赛项目首次列入了哪项赛事？,女子10公里越野滑雪
第六届冬奥会共有多少人参与了本届圣火的滑雪传递？,94
第六届冬奥会1950、多少年他连续两次登上世界全能冠军宝座？,1951
第六届冬奥会意大利33岁的老将泽科洛，是山地滑雪能手，多少年曾获世界冠军？,1950
第六届冬奥会它同多少年夏季奥运会时比利时奥委会赠送给国际奥委会的旗帜一样，不过后者是夏季奥运会专用的会旗，而挪威的则属于冬奥会的专用旗？,1920
第十一届冬奥会斯特拉是各项距离速滑赛中强有力的竟争对手，但本届比赛中她只获多少枚银牌和2枚铜牌？,1枚
第十一届冬奥会札幌运动会期间有多少名选手度过了自己的生日，但索尔伯格是获得金牌的唯一幸运儿？,17名
第十一届冬奥会伊琳娜-罗德尼娜和亚历山大-乌兰诺夫，首次参加冬奥会，获得了男女双人滑第几名？,第一名
为什么第十一届冬奥会捷队只得了第三名？,因为美、捷两队虽然最后积分同为6分，而且捷队净胜球还比美国多10个，但因捷队在决赛时以1:5输给了美国，
第十一届冬奥会无舵雪橇比赛中大显身手，以沃-沙伊德尔和以谁为首的6名男女选手，包揽了男女单座的全部奖牌；在男子双座中，也与意大利队并列，获第一名？,安-米勒
第十一届冬奥会日本以谁为首的3名选手在70米跳台跳雪中包下了全部奖牌？,笠谷幸生
第十一届冬奥会火炬从奥林匹亚传到日本本土后，大会组织了1万5千名年龄在11～多少岁之间的青少年进行火炬接力跑？,20
第十一届冬奥会格鲁德、安德森之后第三个在一届奥运会上取得多少枚金牌的男子速滑选手？,3
第十一届冬奥会维切斯夫-韦杰宁在男子30公里赛中，成为本届的第一个冠军，他也是前苏联在男子越野滑雪个人赛中第一个金牌获得者，他还在4X10公里赛中获多少枚金牌？,1
第十一届冬奥会本届高山滑雪成绩最突出的是瑞士队，在男女项目中共获取了多少枚金牌？,3
第十一届冬奥会可惜，她的这次成绩很不理想，虽然各项进入了前六名，并获取了3枚奖牌(1银2铜)，但其中无多少枚金牌？,1
第十一届冬奥会霍勒姆再次闻名于冰坛是在多少年？,1980
第十一届冬奥会荷兰队成绩也很突出，金、银牌与瑞士相等，仅少多少枚铜牌？,1
第十一届冬奥会同多少年东京第十八届夏季奥运会一样，日本组织了大型的火炬接力活动？,1964
第十一届冬奥会扎幌冬奥会吸引了多少名记者前来采访？,3895
第十一届冬奥会安亨宁和黛霍勒姆分获了多少米、1500米的金牌？,500
第十一届冬奥会她亲手培养的学生埃海登在那一年冬奥会上囊括了男子速滑全部多少个项目的金牌，此为后话？,5
第十一届冬奥会维切斯夫韦杰宁在男子多少公里赛中，成为本届第一个冠军，他也是苏联在男子越野滑雪个人赛中第一个得金牌的选手？,30
第十一届冬奥会世界锦标赛冠军，多少、1972、1973、1975年四夺世界杯赛冠军？,1971
第十一届冬奥会安米勒为首的多少名男女选手包揽了男女单人的全部奖牌；在男子双人项目中，也与意大利队并列了第一名？,6
第十一届冬奥会美、捷两队虽然最后积分同为多少分，而且捷队净胜球还比美国多10个，但因捷队在决赛时以1:5输给了美国，所以捷队只得了第三名？,6
第十七届冬奥会海盗船，为木制结构，可以容纳多少名观众？,10600
"第十七届冬奥会奥拉夫.柯斯，他不仅获得了三枚金牌，还成功的代表挪威奥委会向奥运援助组织捐赠了225000克朗,并鼓励观看比赛的挪威同胞为挪威的每一次胜利捐献多少克朗？",10
第十七届冬奥会对于在多少年奥运申办中以微弱差距失利的利勒哈默尔，能够赢得1994年冬奥会的举办权可谓是众望所归，而且从时间和地点上来说都是正好合适？,1992
"第十七届冬奥会奥拉夫.柯斯，他不仅获得了三枚金牌，还成功的代表挪威奥委会向奥运援助组织捐赠了多少克朗,并鼓励观看比赛的挪威同胞为挪威的每一次胜利捐献10克朗？",225000
第十七届冬奥会市区建有1座多少平方米的花样滑冰馆？,6500
第十七届冬奥会火炬传递与开幕式：本届冬奥会火炬从希腊运至挪威以后，有多少人参加接力传递活动？,6000名
第十七届冬奥会火炬传递与开幕式：本届冬奥会火炬从希腊运至挪威以后，要途径多少个县？,19
第十七届冬奥会火炬传递与开幕式：本届冬奥会火炬从希腊运至挪威以后，历时多少天？,75天
第十七届冬奥会哈孔体育馆，可容纳多少人？,10500人
第十七届冬奥会比赛中基本上发挥了水平，张艳梅获500米短道速滑第几名？,第二名
第十七届冬奥会比赛中基本上发挥了水平，叶乔波获1000米短道速滑第几名？,第三名
第十七届冬奥会比赛中基本上发挥了水平，陈露获花样滑冰女子单人第几名？,第三名
第十七届冬奥会电视转播权由CBS电视台斥资2亿9千5百万美元购得，超过一百万的游客来到利勒哈默尔，创造了自多少年卡尔加里奥运会以来的的最高数字？,1988
第十七届冬奥会台湾选手仅派3名选手参加了双座雪车比赛，结果在43队中名列第多少名？,35
第十七届冬奥会台湾仅派多少名选手参加了双座雪车比赛，结果在43队中名列第35名？,3
第十七届冬奥会在市区附近的山林中建造了一座冰宫，主体是奥林匹克滑冰馆，可容纳多少人，是世界一流的速滑冰场？,8000
第十七届冬奥会俄罗斯的花样滑冰搭档叶卡捷琳娜格尔吉耶娃和谢尔盖格林科夫则继多少年后，再次夺得了双人滑金牌？,1988
第十三届冬奥会这次点燃运动场火炬与以往不同，点火人不是本国知名运动员或社会名流，而是一位年已45岁并有多少个孩子的普莱西德湖的普通市民查尔斯摩根克尔博士？,5个
第十三届冬奥会由花样滑冰改练速滑不久的民主德国18岁的卡林恩克获得了500米第几名？,第一名
第十三届冬奥会著名选手苏联的娜特鲁谢娃和挪威的布埃延森分获了1000，3000米第几名？,第一名
第十三届冬奥会罗德尼娜是多少年代后期世界最著名的花样滑冰运动员？,70
第十三届冬奥会苏联自1956年参加奥运会冰球赛以来，曾5次夺魁，美国队于多少年也曾获一次冠军？,1960
第十三届冬奥会这支美国历史上最年轻的冰球队在比分三度落后的不利形势下顽强奋战，结果以4:多少反败为胜？,3
第十三届冬奥会2月24日美国对芬兰再以4:2取胜，实现了他们东山再起的宿愿，打破了苏联自多少年来垄断冰球冠军的局面？,1964
第十三届冬奥会，中国共派出28名男女运动员，参加了滑冰、滑雪、现代冬季两项的多少个单项比赛？,18
第十三届冬奥会大会共招募到多少名志愿服务者？,6703
第十三届冬奥会自多少年冬奥会在这里召开以后，普莱西德湖这个人口不多的山间小镇，成为美国冬季运动活跃的场所之一？,1932
第十三届冬奥会普莱西德湖奥林匹克之火是当年多少月30日在奥林匹亚林中点燃的，于开幕前一天传到主办地？,1
第十三届冬奥会运动员海登。多少年，这个当时年仅17岁的少年就已出现在因斯布鲁克奥运会冰场上，但一无所获？,1976
第十三届冬奥会梅特，夺下第二枚金牌，成绩是多少分，也是奥运会新纪录？,7分02秒29
第十三届冬奥会海登囊括了全部多少个速滑项目的金牌，这在奥运会史上是独一无二的？,5
第十三届冬奥会女子全部多少项冠军为荷兰、民主德国、挪威、苏联均分？,4
第十五届冬奥会冬奥会的除卡尔加里外，还有哪？,瑞典的法伦、意大利的科蒂纳丹佩佐
第十五届冬奥会卡尔加里在为期6年的筹备工作中，兴建了许多运动场馆与设施，奥林匹克椭圆馆是世界上第一个有哪个比赛赛道的全封闭场馆？,400米速滑跑道
第十五届冬奥会首次参加的国家和地区有谁？,斐济、牙买加、关岛、危地马拉和荷属安的列斯
第十五届冬奥会其中新增了哪些比赛项目？,男女超大回转、男女阿尔卑斯式混合、男子90米跳台团体、男子北欧式团体、女子5000米速度滑冰等
第十五届冬奥会共设了多少枚金牌？,46枚
第十五届冬奥会奥运会纪录均被刷新，其中有多少项世界纪录？,6项
第十五届冬奥会芬兰滑雪运动员尼凯宁(MattiNykanen)在跳台滑雪比赛夺得多少面金牌？,3面
第十五届冬奥会荷兰女选手亨尼普在速滑中击败民主德国劲旅，获得了1500米、3000米和5000米几枚金牌？,3枚
第十五届冬奥会民主德国运动员在无舵雪橇男子获得了第几名？,第一名
第十五届冬奥会哪项比赛第一次由室外转入馆内，是冬奥会发展的标志之一？,速滑比赛
第十五届冬奥会在各项比赛中，获两枚金牌以上的选手达多少人之多？,8
第十五届冬奥会芬兰运动员M.尼凯宁和荷兰运动员Y.范根尼普分别在跳台滑雪和女子速滑中各多少次夺冠，金牌数并列本届榜首？,3
第十五届冬奥会荷兰女选手亨尼普在速滑中击败民主德国劲旅，获得了多少米、3000米和5000米3枚金牌，并打破1500米的奥运会纪录和3000米的世界纪录，成为本届冬奥会的风云人物？,1500
第十五届冬奥会布莱尔以多少的成绩打破女子500米速滑世界纪录？,39秒10
第十五届冬奥会梅伊在500米中以多少的成绩创造了世界新纪录？,36秒45
第十六届冬奥会这里还修建有容纳多少名观众的冰球场？,6000
第十六届冬奥会冬奥会的开幕式由谁主持？,当年的世界滑雪冠军让-克洛洗-基利和为争办本届冬奥会做出贡献的米歇尔-巴尔尼埃
第十六届冬奥会跳台滑雪、高山滑雪、雪橇、花样滑冰、现代速度滑冰、冬季两项、冰球等12个大项、多少个小项的正式比赛？,57
第十六届冬奥会在阿尔贝维尔新建可容多少万人的体育场和400米椭圆形冰场，分别用于开、闭幕式和冰上项目比赛？,3
第十六届冬奥会普拉蒂尼，郑重地将火把交给一名爱好各种体育运动的多少岁小学生，并由其引燃本届冬奥会的圣火？,9
第十六届冬奥会男子短跑道速滑5000米接力的冠军被韩国的选手夺得，他们还以多少的成绩打破了7分22秒12的世界纪录？,7分14秒02
第十四届冬奥会首次参赛的有谁？,波多黎各、维尔京群岛、塞内加尔、摩纳哥、墨西哥
第十四届冬奥会日本名手黑岩彰满以为苏联人选变化会使他夺冠有望，但后来仍输给了哪位运动员？,福基切夫
第十四届冬奥会近年来，萨拉热窝多次举办世界性体育比赛，如第多少届世界乒乓球锦标赛、1983年世界杯滑雪赛等？,第三十二
第十四届冬奥会丽娜维特获得了女子单人滑第几名？,第一名
第十四届冬奥会大回转(戴阿姆斯特朗)中夺魁，共获得了多少枚金牌，这是美国在滑雪中成绩最辉煌的一次？,3
"第十四届冬奥会除冰球外,获得到枚金牌的全部选手平均年龄仅多少岁？",23
"第十四届冬奥会美国队,获得了本届冰球第几名？",第一名
第十四届冬奥会芬兰、瑞典也各获得了多少枚金牌？,4枚
第十四届冬奥会而在开幕式上代表运动员和比赛官员宣誓的分别是谁？,来自东道主的高山滑雪运动员博扬克里萨伊和高山滑雪裁判员德拉根佩罗维奇
第十四届冬奥会本届比赛项目增加了1项女子20公里越野滑雪，使原先的38个单项增至多少个？,39
第十四届冬奥会鲍彻是从多少年开始第三次参加奥运会的？,1976
第十四届冬奥会民主德国在这次女子速滑中，取得了空前成绩，包下了全部多少项冠军？,4
第十四届冬奥会她在1000、1500米赛中两次夺冠，并在1500米赛中以2分03秒42创造了本届速滑中唯一的多少项世界纪录？,1
第十四届冬奥会瑞典在越野雪赛中共获取了多少枚金牌？,3
第十四届冬奥会接力赛中战胜了上届冠军苏联队，再为瑞典取得了多少枚金牌？,1
第十四届冬奥会后者这次金牌为6枚、银牌10枚、铜牌多少枚？,9
第十四届冬奥会美国名列第三，金、银牌各多少枚？,4
第十四届冬奥会两国银、铜牌数，芬兰分别为3、6枚，瑞典分别为2、多少枚？,2
第十四届冬奥会本届比赛共39个单项，增加了哪项比赛项目？,1项女子20公里越野滑雪
第十四届冬奥会于2月8日下午2时半正式开幕。多少名观众冒雪参加了开幕式？,55000
第十四届冬奥会参与报道本届赛会的新闻记者共有多少名，其中文字记者2363名，广播记者5030名？,7393
第十四届冬奥会应邀参加本届运动会的有多少个国家和地区，共1274名运动员，其中女子274人，男运动员1000人？,49
第十四届冬奥会本届比赛项目增加了多少项，使原先的38个单项增至39个？,1
第十四届冬奥会多少月9日，各项比赛陆续开始？,2
第十四届冬奥会原定多少日上午举行的速滑比赛不得不延至下午，下午也是边扫雪，边比赛？,10
第十四届冬奥会奥林匹克火炬于多少月29日从希腊运到南斯拉夫滨海城市杜布罗伏尼克后，采取了与以往不同的传递方式，分南北两路进行火炬接力，最后于波斯尼亚-黑塞哥维那会合？,1
第十四届冬奥会鲍彻是从哪年开始第三次参加奥运会的？,1976
第十四届冬奥会汉密尔身高仅多少米，体型并不理想，但勤劳的汗水使他获得了技术的丰收？,1.59
第十四届冬奥会首先在哪位运动员的主项10公里赛中获金牌，接着在5公里中夺标，随后又在首次列入的20公里比中，成为该项第一个奥运会女冠军？,芬兰女滑雪选手玛尔娅——利萨·海曼莱宁
第十四届冬奥会本届运动会民主德国获金牌多少枚、银牌9枚、铜牌6枚，首次居各国之首，超过了近几届的霸主苏联？,9
第十四届冬奥会这是苏联自多少年参加比赛以来，继1968年第二次金牌数居他国之后？,1956
"第十四届冬奥会中国运动员仅得团体总分多少分,排在第23位？",5
第十四届冬奥会本届比赛共多少个单项，增加了1项女子20公里越野滑雪？,39
第十届冬奥会许多名将连连失利，如老将叶-格里申只在500米比赛中获第四名，上届囊括全部女子速滑金牌的利-斯科布利娃这次却接连失利，仅在3000米比赛中得了第几名？,第六名
第十届冬奥会格勒诺布尔是法国东南部一座古老的城市，它的历史可远溯古罗马时期，9世纪时被阿拉伯人占据，多少年归属法国？,1349
第十届冬奥会在速滑比赛中，前联邦德国的艾-克勒获500米冠军、荷兰的科-维克尔克在1500米夺冠、瑞典的约-霍格林在10000米中获胜、挪威的弗-安-迈耶尔获5000米第几名？,第一名
第十届冬奥会运动雪橇，按规定需进行多少轮比赛？,4
第十届冬奥会格勒诺布尔是法国东南部一座古老的城市，它的历史可远溯古罗马时期，多少世纪时被阿拉伯人占据，1349年归属法国？,9
第十届冬奥会他们仅花了多少个月时间，就建了一个有1万2千人座位的冰场，场旁还修建了法国第一个人造滑冰场，滑雪场地也设备齐全，并盖了一个奥林匹克村？,16
索尔斯坦·玛吉斯的中文名怎么称呼？,索尔斯坦玛吉斯
索尔斯坦·玛吉斯的国籍是？,德国
索尔斯坦·玛吉斯2018年2月19日，在2018年平昌冬奥会雪车男子双人座比赛中，索尔斯坦玛吉斯与队友弗朗西斯科弗里德里希组合，滑出了49秒22的成绩，获得了第几名？,第二名
索尔斯坦·玛吉斯什么时候在雪车男子双人座比赛中，索尔斯坦玛吉斯与队友弗朗西斯科弗里德里希组合，滑出了49秒22的成绩，获得了第二名？,43150
维尔德的中文名怎么称呼？,维尔德
维尔德的运动项目是哪项？,单板滑雪
维尔德的国籍是？,俄罗斯
董雪的中文名怎么称呼？,董雪
董雪的外文名怎么称呼？,DongXue
董雪的国籍是？,中国
董雪的体重是多少KG？,56KG
董雪的出生地是在哪？,吉林省吉林市
董雪的出生日期在什么时候？,1986.08.17
董雪的身高是多少CM？,167CM
董雪的运动项目是哪项？,冬季两项兼越野滑雪
董雪冬季运动会上取得了冬季两项7.5公里和10公里两个项目第几名？,第一名
董雪担任北京多少年申冬奥大使？,2020
董雪冬季运动会上取得了哪两个项目第一名？,冬季两项7.5公里和10公里
董雪董雪，女，多少年8月17日出生于吉林省吉林市，是一名滑雪运动员？,1986
蒂凡尼的中文名怎么称呼？,蒂凡尼
蒂凡尼的国籍是？,法国
蒂凡尼的运动项目是哪项？,短道速滑
蒂凡尼2019年1月，蒂凡尼获得了2019短道速滑欧锦赛女子1000米第几名？,第二名
蒂凡尼2019年1月，蒂凡尼获得了哪项赛事亚军？,2019短道速滑欧锦赛女子1000米
蒂凡尼多少年1月，蒂凡尼获得2019短道速滑欧锦赛女子1000米亚军？,2019
薛瑞红的中文名怎么称呼？,薛瑞红
薛瑞红的国籍是？,中国
薛瑞红的出生地在哪？,齐齐哈尔，黑龙江省
薛瑞红的毕业院校是哪所学院？,沈阳体育学院
薛瑞红的所属运动队是哪个队？,黑龙江队
薛瑞红的外文名是怎么称呼？,XueRuihong
薛瑞红是哪个民族？,汉
薛瑞红的出生日期是什么时间？,24932
薛瑞红的运动项目是哪项？,速度滑冰
